Sector from YaHoo,Symbol,Name,Note
Basic Materials,NEM,Newmont Corporation,
,BHP,BHP Group,
,BBL ,BHP Group,
,RIO,Rio Tinto Group,
,CTA-PB,E. I. du Pont de Nemours and Company,存在AB股。取B股
,SHW,The Sherwin-Williams Company,
,APD,"Air Products and Chemicals, Inc.",
,ECL,Ecolab Inc.,
,FCX,Freeport-McMoRan Inc.,
,VALE,Vale S.A.,
Communication Services,GOOG,Alphabet Inc.,（GOOGL isn
,FB,"	Meta Platforms, Inc.",
,DIS,The Walt Disney Company,
,NFLX,"Netflix, Inc.",
,CMCSA,Comcast Corporation,
,VZ,Verizon Communications Inc.,
,T,AT&T Inc.,
,snap,Snap Inc.,
,TMUS,"T-Mobile US, Inc.",
,CHTR,"Charter Communications, Inc.",
Consumer Cyclical,AMZN,"Amazon.com, Inc.",
,TSLA,"Tesla, Inc.",
,HD,"The Home Depot, Inc.",
,BABA,Alibaba Group Holding Limited,
,NKE,"NIKE, Inc.",
,TM,Toyota Motor Corporation,
,MCD,McDonald's Corporation,
,SBUX,Starbucks Corporation,
,JD,"JD.com, Inc.",
,LOW,"Lowe's Companies, Inc.",
Consumer Defensive,WMT,Walmart Inc.,
,PG,The Procter & Gamble Company,
,KO,The Coca-Cola Company,
,COST,Costco Wholesale Corporation,
,PEP,"PepsiCo, Inc.",
,PM,Philip Morris International Inc.,
,UL,Unilever PLC,
,DEO,Diageo plc,
,TGT,Target Corporation,
,EL,The Estée Lauder Companies Inc.,
Energy,XOM,"	Exxon Mobil Corporation",
,CVX,Chevron Corporation,
,RDS-B,Royal Dutch Shell plc,存在AB股。取B股
,PTR,PetroChina Company Limited,
,TTE,TotalEnergies SE,
,COP,ConocoPhillips,
,SNP,Equinor ASA,
,ENB,Enbridge Inc.,
,BP,BP p.l.c.,
,EQNR,Equinor ASA,
Healthcare,UNH,UnitedHealth Group Incorporated,
,JNJ,Johnson & Johnson,
,PFE,Pfizer Inc.,
,NVO,Novo Nordisk A/S,
,LLY,Eli Lilly and Company,
,TMO,Thermo Fisher Scientific Inc.,
,ABT,Abbott Laboratories,
,NVS,Novartis AG,
,DHR,Danaher Corporation,
,ABBV,AbbVie Inc.,
Industrials,UPS,"United Parcel Service, Inc.",
,Unp,Union Pacific Corporation,
,HON,Honeywell International Inc.,
,RTX,Raytheon Technologies Corporation,
,BA,The Boeing Company,
,CAT,Caterpillar Inc.,
,DE,Deere & Company,
,GE,General Electric Company,
,ADP,"Automatic Data Processing, Inc.",
,MMM,3M Company,
Real Estate,AMT,American Tower Corporation,
,PLD,"Prologis, Inc.",
,CCI,Crown Castle International Corp.,
,EQIX,"Equinix, Inc.",
,PSA,Public Storage,存在多个。取市值最高
,SPG-PJ,"Simon Property Group, Inc.",存在多个。取市值最高
,DLR,"Digital Realty Trust, Inc.",
,O,Realty Income Corporation,
,WELL,"Welltower Inc.	",
,SBAC,SBA Communications Corporation,
Tech,AAPL,Apple Inc.,
,MSFT,Microsoft Corporation,
,NVDA,NVIDIA Corporation,
,TSM,Taiwan Semiconductor Manufacturing Company Limited,
,ASML,ASML Holding N.V.,
,ADBE,Adobe Inc.,
,ORCL,Oracle Corporation,
,ACN,Accenture plc,
,CSCO,"	Cisco Systems, Inc.",
,AVGO,Broadcom Inc.,
Utilities,NEE,"NextEra Energy, Inc.",
,DUK,Duke Energy Corporation,
,SO,The Southern Company,
,D,"Dominion Energy, Inc.",
,AWK,,
,EXC,Exelon Corporation,
,NGG,National Grid plc,
,SRE,Sempra,
,XEL,Xcel Energy Inc.,
,AEP,"American Electric Power Company, Inc.",
Financial Service,BRK-A,Berkshire Hathaway Inc.,存在AB股。取B股
,JPM,JPMorgan Chase & Co,存在多个。取市值最高
,V,Visa Inc.,
,BAC,Bank of America Corporation,存在多个。取市值最高
,MA,Mastercard Incorporated,
,WFC-PL,Wells Fargo & Company,
,PYPL,"PayPal Holdings, Inc.",
,C-PJ,Citigroup Inc.,
,MS,Morgan Stanley,
,SCHW,The Charles Schwab Corporation,
